Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,4.245388091696752,4.2706174420744585,4.153645595954262,4.240800857543945,80020400,0.0,0.0
2010-01-05 00:00:00-05:00,4.224745523206675,4.34859776983479,4.224745523206675,4.302726745605469,72864800,0.0,0.0
2010-01-06 00:00:00-05:00,4.300434112517612,4.339424732636283,4.2591498750433985,4.330250263214111,64916800,0.0,0.0
2010-01-07 00:00:00-05:00,4.30731437879528,4.325662877681473,4.213278267320702,4.245388031005859,54779200,0.0,0.0
2010-01-08 00:00:00-05:00,4.210984491297226,4.28437848407111,4.18575514223269,4.254561901092529,47816800,0.0,0.0
2010-01-11 00:00:00-05:00,4.277497136475864,4.295845632538616,4.135296401355196,4.194929122924805,55661200,0.0,0.0
2010-01-12 00:00:00-05:00,4.133004473758532,4.1490593596919885,3.9655743240770125,4.052729606628418,62743200,0.0,0.0
2010-01-13 00:00:00-05:00,4.0802507795242535,4.121534566216266,3.921994732752303,4.107773303985596,50886800,0.0,0.0
2010-01-14 00:00:00-05:00,4.057316487433443,4.087132639067547,3.9747480098885495,4.043554782867432,60852400,0.0,0.0
2010-01-15 00:00:00-05:00,4.013737619513056,4.0481409973306315,3.871536437081013,3.924288749694824,81819200,0.0,0.0
2010-01-19 00:00:00-05:00,3.894472469349583,4.022912398081912,3.883004821677601,3.997683048248291,54532800,0.0,0.0
2010-01-20 00:00:00-05:00,3.9472236524207522,3.9976823431887434,3.89447178249298,3.9816274642944336,71972800,0.0,0.0
2010-01-21 00:00:00-05:00,3.979335881268463,4.050436283048056,3.8738316500334853,3.9105286598205566,60863200,0.0,0.0
2010-01-22 00:00:00-05:00,3.8646568458340194,3.935757233438558,3.7522722210840147,3.77520751953125,106791600,0.0,0.0
2010-01-25 00:00:00-05:00,3.837133139007955,3.912820746764658,3.8096106111669865,3.8394267559051514,64367600,0.0,0.0
2010-01-26 00:00:00-05:00,3.8210789190039867,3.8463082717735917,3.7155751482633983,3.7178683280944824,71463600,0.0,0.0
2010-01-27 00:00:00-05:00,3.715575736063537,3.8325471743153754,3.6742914931686124,3.8187859058380127,81250400,0.0,0.0
2010-01-28 00:00:00-05:00,3.848601856390101,3.8623631225736026,3.6375936605063806,3.6903457641601562,68776400,0.0,0.0
2010-01-29 00:00:00-05:00,3.7316295896692115,3.7729138211409396,3.474750170213303,3.5297958850860596,77470000,0.0,0.0
2010-02-01 00:00:00-05:00,3.543557508427825,3.8073175869158584,3.513741140317106,3.8004367351531982,94983200,0.0,0.0
2010-02-02 00:00:00-05:00,3.7866748796577174,3.8875918358208854,3.7752067951717367,3.8394267559051514,84981200,0.0,0.0
2010-02-03 00:00:00-05:00,3.8050235878724417,3.887592050888549,3.7866750891424976,3.8715367317199707,56229600,0.0,0.0
2010-02-04 00:00:00-05:00,3.8371327074461745,3.8371327074461745,3.6054828951666424,3.6467669010162354,78348000,0.0,0.0
2010-02-05 00:00:00-05:00,3.642181129478489,3.7293366229320295,3.5779613727821844,3.7201621532440186,60485600,0.0,0.0
2010-02-08 00:00:00-05:00,3.7086948730059617,3.8027310093607007,3.6398878746120444,3.7132821083068848,44516000,0.0,0.0
2010-02-09 00:00:00-05:00,3.772914330042108,3.7912628312308043,3.646768001589893,3.683465003967285,93014400,0.0,0.0
2010-02-10 00:00:00-05:00,3.7064008635657073,3.78896934040297,3.681171509540368,3.754565954208374,53582800,0.0,0.0
2010-02-11 00:00:00-05:00,3.8141986885422545,3.9678675725643613,3.7866761514575176,3.926583766937256,69598000,0.0,0.0
2010-02-12 00:00:00-05:00,3.89905811059038,4.059607737187941,3.8554802798060352,3.97933292388916,78021200,0.0,0.0
2010-02-16 00:00:00-05:00,4.032087485438879,4.068784492561875,3.98392282763851,4.052729606628418,45702400,0.0,0.0
2010-02-17 00:00:00-05:00,4.103186798191383,4.10548041521356,3.9747473071884625,4.091719150543213,87656000,0.0,0.0
2010-02-18 00:00:00-05:00,3.866949733466509,3.887591848144014,3.7178676969150373,3.8233718872070312,151550800,0.0,0.0
2010-02-19 00:00:00-05:00,3.8073182724743257,3.8486025155585435,3.784382533265,3.8027310371398926,51054800,0.0,0.0
2010-02-22 00:00:00-05:00,3.8187832013953575,3.8761222898170975,3.7843798358348195,3.8096091747283936,45808400,0.0,0.0
2010-02-23 00:00:00-05:00,3.8210789190039867,3.837133802598183,3.678878146487301,3.7178683280944824,48976400,0.0,0.0
2010-02-24 00:00:00-05:00,3.7499782927200433,3.8325463226999306,3.738510206984823,3.795849323272705,44586800,0.0,0.0
2010-02-25 00:00:00-05:00,3.7086943514110655,3.7706207068756252,3.6146582282816717,3.761446237564087,57697200,0.0,0.0
2010-02-26 00:00:00-05:00,3.743097511134795,3.770620479950234,3.6926392453463635,3.7155749797821045,39339600,0.0,0.0
2010-03-01 00:00:00-05:00,3.7178687042033505,3.883005666364224,3.688052551292533,3.864657163619995,55586800,0.0,0.0
2010-03-02 00:00:00-05:00,3.8990610640377574,3.947225726023105,3.834841077261091,3.8623640537261963,53864800,0.0,0.0
2010-03-03 00:00:00-05:00,3.8852990827723413,3.9059412019739366,3.782088486764366,3.8141982555389404,39930000,0.0,0.0
