,AAPL,NVDA,TSLA
2013-06-19 00:00:00,0.3327918877947402,0.3313720820643016,0.335836030140996
2013-06-20 00:00:00,0.3263618144492277,0.3390789613936984,0.3345592241571303
2013-06-21 00:00:00,0.3363607629585318,0.3332627041039649,0.3303765329375661
2013-06-24 00:00:00,0.3330240041060848,0.3346811180753813,0.3322948778185844
2013-06-25 00:00:00,0.3290254374639669,0.3304506402748512,0.3405239222612443
2013-06-26 00:00:00,0.332033255097225,0.3337478774946336,0.3342188674081084
2013-06-27 00:00:00,0.3292126197272537,0.3306376103922728,0.3401497698804786
2013-06-28 00:00:00,0.3295205789430018,0.3299164963252134,0.3405629247317914
2013-07-01 00:00:00,0.335760521469723,0.334549849361625,0.3296896291687016
2013-07-02 00:00:00,0.330688446116972,0.3237562626119564,0.3455552912710078
2013-07-03 00:00:00,0.3367128408590929,0.3308721276904056,0.3324150314506566
2013-07-05 00:00:00,0.3358415929066094,0.335171391336036,0.3289870157759708
2013-07-08 00:00:00,0.3278385044488176,0.3317929956077986,0.3403684999434314
2013-07-09 00:00:00,0.3317419002781322,0.3319323499067186,0.336325749815364
2013-07-10 00:00:00,0.3345921515636936,0.3314300324464134,0.3339778159899234
2013-07-11 00:00:00,0.3323785853470654,0.3366733475674464,0.3309480670855452
2013-07-12 00:00:00,0.3325005324822891,0.3320675749871829,0.335431892530599
2013-07-15 00:00:00,0.3301259581093288,0.3307531559994868,0.3391208858912418
2013-07-16 00:00:00,0.3355611771830442,0.3345036918226339,0.3299351309943861
2013-07-17 00:00:00,0.3458778373526989,0.3456324455269356,0.3084897171204184
2013-07-18 00:00:00,0.325271207648873,0.3238457929791113,0.3508829993720752
2013-07-19 00:00:00,0.3350829125573442,0.3332137924391961,0.3317032950035006
2013-07-22 00:00:00,0.3320251750829964,0.3306418323145066,0.3373329926025474
2013-07-23 00:00:00,0.3320106430285458,0.3310349390754932,0.3369544178959966
2013-07-24 00:00:00,0.3303778077925048,0.3343192080125212,0.3353029841950218
2013-07-25 00:00:00,0.3426000878712026,0.3297594173908253,0.3276404947380152
2013-07-26 00:00:00,0.3306569429285964,0.3326773924743074,0.3366656645972061
2013-07-29 00:00:00,0.3310572865009878,0.3285857497019882,0.3403569637969432
2013-07-30 00:00:00,0.3327112599265445,0.3283279351209584,0.3389608049525363
2013-07-31 00:00:00,0.3357631862876082,0.3369101436350538,0.327326670077377
2013-08-01 00:00:00,0.3312629149328198,0.3322189701317733,0.3365181149356082
2013-08-02 00:00:00,0.3329194229754037,0.3340892868602045,0.3329912901644406
2013-08-05 00:00:00,0.3332825959539516,0.3321239159803185,0.3345934880656686
2013-08-06 00:00:00,0.3313941948642533,0.3288447740920984,0.3397610310437022
2013-08-07 00:00:00,0.3345356921243738,0.333063600577691,0.3324007072981004
2013-08-08 00:00:00,0.3379367214649096,0.3379106939780229,0.3241525845571221
2013-08-09 00:00:00,0.3204798701974402,0.3226900334070326,0.3568300963955841
2013-08-12 00:00:00,0.3324128516905825,0.3323988064935647,0.3351883418158924
2013-08-13 00:00:00,0.341819422127915,0.3326467225420406,0.325533855330097
2013-08-14 00:00:00,0.3420666429090058,0.3310556270611233,0.3268777300299217
2013-08-15 00:00:00,0.3363266143314734,0.3423419934694676,0.3213313921991144
2013-08-16 00:00:00,0.3323964380486952,0.334355619224509,0.3332479427268447
2013-08-19 00:00:00,0.3330923127464225,0.3318644410098404,0.3350432462437742
2013-08-20 00:00:00,0.3347433284396622,0.3281006110329564,0.3371560605271046
2013-08-21 00:00:00,0.3280323489585905,0.3325768888449136,0.3393907621965674
2013-08-22 00:00:00,0.3351110827618463,0.333296709390546,0.3315922078476726
2013-08-23 00:00:00,0.3278767793525088,0.3289222868050286,0.3432009338425188
2013-08-26 00:00:00,0.3301762142323229,0.3311403788258328,0.3386834069418828
2013-08-27 00:00:00,0.3325895116079774,0.3321176484271366,0.335292839964938
2013-08-28 00:00:00,0.3282087093476118,0.3321874771177032,0.3396038135346711
2013-08-29 00:00:00,0.3344007547996746,0.3332187149605129,0.3323805302398591
2013-08-30 00:00:00,0.3339690834282845,0.3330549137479722,0.3329760028237986
2013-09-03 00:00:00,0.330452116791377,0.3323914461075066,0.3371564371011692
2013-09-04 00:00:00,0.3337715833124897,0.3332432717250006,0.3329851449626242
2013-09-05 00:00:00,0.33516293589273,0.3323609902348686,0.3324760738724462
2013-09-06 00:00:00,0.3323034977990682,0.334689279650925,0.3330072225500268
2013-09-09 00:00:00,0.3361123803177267,0.3336191559299368,0.330268463752393
2013-09-10 00:00:00,0.3377220189154136,0.3379332215071741,0.3243447595774696
2013-09-11 00:00:00,0.3248339218384337,0.3358163435808722,0.3393497345807578
2013-09-12 00:00:00,0.324284159315852,0.3421029684400298,0.3336128722441558
2013-09-13 00:00:00,0.3344424327554736,0.3316213583976866,0.333936208846792
2013-09-16 00:00:00,0.3297473888869758,0.3354602720481959,0.3347923390644002
2013-09-17 00:00:00,0.3274581521591021,0.3355647766239914,0.3369770712169475
2013-09-18 00:00:00,0.3351702720859774,0.3330729081774446,0.3317568197366266
2013-09-19 00:00:00,0.3360288928064242,0.3330966179814366,0.330874489212198
2013-09-20 00:00:00,0.3305649960663794,0.3253719943237284,0.3440630096099526
2013-09-23 00:00:00,0.3297778067920464,0.3301695143680666,0.340052678839947
2013-09-24 00:00:00,0.3434443802561867,0.3286444485439124,0.327911171199916
2013-09-25 00:00:00,0.3319289235916518,0.3336731009132821,0.3343979754952056
2013-09-26 00:00:00,0.3293173483980495,0.3335055263456852,0.3371771252562754
